Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
"ID-Deploy Technician, DCC Communities , ID-Deploy Technician",2025-11-19,https://jobright.ai/jobs/info/691e4fdda49a885af9a27854?utm_source=1100&utm_campaign=Software Engineering,On Site,"Mesa, Arizona, USA",Amazon,10000+,"Delivery,E-Commerce","$55,900-$125,100 /yr","1. 1+ years of Linux operating systems experience
2. 1+ years of computer networking experience
3. Bachelor's degree in Information Technology, Computer Science, or a related field
4. Experience in computer networking
5. Experience working with Linux operating systems
...",not sure,
Software Engineer,2025-11-19,https://jobright.ai/jobs/info/691bab1cbcdbf3560c9e13e9?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Scottsdale, AZ",General Dynamics Mission Systems,10000+,"Aerospace,Business Information Systems",$84K-$89K /yr,"1. Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field
2. Department of Defense Secret security clearance is required at time of hire
3. U.S. citizenship is required",no,
RPA Developer- Automation Anywhere,2025-11-19,https://jobright.ai/jobs/info/691e4a1909cc522e8773899d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Brooklyn, OH",KeyBank,10000+,,$68K-$103K /yr,"1. Bachelor's Degree or equivalent experience
2. Develop, configure, test, and deploy automation solutions that align with business needs
3. Provide support, root cause analysis, and debugging to meet SLAs
4. Collaborate with stakeholders to gather requirements and integrate solutions with existing systems
5. Communicate with diverse audiences and support automation portfolios
...",not sure,
Associate Technical Engineer,2025-11-19,https://jobright.ai/jobs/info/691e48f309cc522e877388c5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
MS, Working at Home - Mississippi
FL, Working at Home - Florida
WA, Working at Home - Washington
ME, Working at Home - Maine
SD, Working at Home-South Dakota
SC, Working at Home-South Carolina
AK, Working at Home - Alaska
MI, Working at Home - Michigan
AR, Working at Home -  Arkansas
WY, Working at Home - Wyoming
AZ, Working at Home - Arizona
ID, Working at Home - Idaho
KS, Working at Home - Kansas
LA, Working at Home - Louisiana
OK, Working at Home - Oklahoma
DC, Working at Home - Dist of Col
CA, Working at Home - California
TX, Working at Home - Texas
IL, Working at Home - Illinois
MO, Working at Home - Montana
VT, Working at Home - Vermont
IN, Working at Home - Indiana
TN, Working at Home -Tennessee
HI, Working at Home - Hawaii
PA, Working at Home - Pennsylvania
NC, Working at Home - N Carolina
KY, Working at Home - Kentucky
OH, Working at Home - Ohio
MN, Working at Home - Minnesota
WV, Working at Home - W Virginia
NV, Working at Home - Nevada
IA, Working at Home - Iowa
DE, Working at Home - Delaware
MA, Working at Home -Massachusetts
NH, Working at Home - New Hampshire
MO, Working at Home - Missouri
NY, Working at Home - New York
ND, Working at Home - North Dakota
UT, Working at Home - Utah
MD, Working at Home - Maryland
WI, Working at Home - Wisconsin
CT, Working at Home - Conneticut
CO, Working at Home - Colorado
NE, Working at Home - Nebraska
AL, Working at Home - Alabama
VA, Working at Home - Virginia
OR, Working at Home - Oregon",Highmark Health,10000+,"Health Care,Hospital","$57,700-$107,800 /yr","1. 1 year of experience in one or many of the following tasks: analyzing, designing, coding, testing and implementing technical solutions, as well as providing general production support, meeting defined scope, target dates and budgets with minimal or no defects.
2. 1 year of technical problem solving, solution implementation, team/project collaboration.
3. 1 year of basic computer science concepts and principles, common operating systems, development languages/scripting
4. Bachelor’s degree in Computer Science, Information Systems, Computer Engineering or relevant experience and/or education as determined by the company in lieu of bachelor's degree.
5. None",not sure,
INFORMATION TECHNOLOGY SPECIALIST I,2025-11-19,https://jobright.ai/jobs/info/691e482c09cc522e877387d6?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Sacramento County, CA",Caltrans,1001-5000,"Government,Office Administration",$6513-$10537 /mon,"1. Possession of a valid driver’s license is required when operating a state owned or leased vehicle.
2. Statement of Qualifications (SOQ) required. Failure to submit a SOQ will disqualify candidates from the hiring process.
3. Possession of Minimum Qualifications will be verified prior to interview and/or appointment.
4. If you are basing your eligibility on education, you must include your unofficial transcript(s)/diploma for verification.
5. Applicants with foreign transcripts/degrees must provide a transcript/degree U.S. equivalency report evaluation that indicates the number of units and degree to which the foreign coursework is equivalent.
...",no,
Junior Quality Assurance Analyst - NISSC II,2025-11-19,https://jobright.ai/jobs/info/691e45b209cc522e87738566?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Colorado Springs, CO",Amentum,10000+,"Mechanical Engineering,Security",$65K-$85K /yr,"1. Must have 6 months of experience in any type of administrative role
2. Must have 6 months of experience working on the NISSC II Contract
3. Must have, or obtain, an active DoD Secret Security Clearance
4. Able to coordinate and integrate content from various stakeholders
5. Strong ownership of assigned workload from beginning to end
...",no,yes
Software QA Engineer I,2025-11-19,https://jobright.ai/jobs/info/691e458a09cc522e87738541?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Boston, MA",Silicon Labs,1001-5000,"Hardware,Internet of Things",$78K-$145K /yr,"1. Bachelor’s degree in Computer Engineering, Computer Science, Electrical Engineering, or a related field.
2. Strong proficiency in Python programming.
3. Experience working in Linux environments for development, scripting, and debugging.
4. Basic understanding of networking and wireless technologies (e.g., Wi-Fi or similar).
5. Familiarity with QA methodologies, automated testing frameworks, and version control systems.
...",not sure,
Database Administrator,2025-11-19,https://jobright.ai/jobs/info/691e4578a49a885af9a27048?utm_source=1100&utm_campaign=Software Engineering,On Site,"Itasca, IL",KEYENCE CORPORATION,1001-5000,"Automotive,Information Technology",$101K-$104K /yr,"1. Bachelor’s degree in IT, Computer Science, or a related field.
2. 1–2 years of hands-on experience in database administration and design.
3. Strong communication skills and a collaborative, problem-solving mindset.
4. Solid understanding of relational databases and normalization techniques.
5. Intermediate proficiency in T-SQL.
...",not sure,
Customer Support Technician I IL,2025-11-19,https://jobright.ai/jobs/info/691e4552a49a885af9a2702c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Terre Haute, IN",Joink ,11-50,"Information Technology,Internet",$18-$21 /hr,"1. Candidate must be willing to reside near or commute to a Joink office (Currently within Illinois: Taylorville, Hillsboro; Indiana: Terre Haute)
2. High School Diploma or equivalent
3. 1 year of customer service or basic technical support experience
4. Ability to maintain a professional demeanor
5. Ability to evaluate situations and adjust to changing priorities
...",not sure,
Cloud Services Developer,2025-11-19,https://jobright.ai/jobs/info/691e451509cc522e877384d6?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Reston, VA
Washington, DC",Oracle,10000+,"Data Governance,Data Management",$87K-$178K /yr,"1. Hands-on experience in software development or engineering, with a focus on technology and problem-solving
2. Proficiency / applied experience in one or more programming languages (e.g. Java, Python, or SQL; Linux is a must)
3. Ability to apply software testing concepts and practical experience with JUnit or similar testing frameworks to ensure code quality
4. Experience in cloud computing concepts, preferably related to Oracle Cloud Infrastructure (OCI) and cloud-native services (Kubernetes, REST APIs, Containers)
5. Interest in Agile methodologies and collaborative development
...",no,
Entry Level Engineer,2025-11-19,https://jobright.ai/jobs/info/691e44b609cc522e8773846f?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Scottsdale, AZ",General Dynamics Mission Systems,10000+,"Aerospace,Business Information Systems",$74K-$82K /yr,"1. Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field.
2. Due to the nature of work performed within our facilities, U.S. citizenship is generally required.
3. Clear understanding of the software engineering concepts, principles, theories, software development process, and agile methodology.
4. Clear understanding of the software development process, with agile experience.
5. Ability to grasp and apply new information quickly and handle increasing responsibilities with growing complexity.
...",no,
Cloud Analyst,2025-11-19,https://jobright.ai/jobs/info/691e447f3f782d2f1afb321a?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Minneapolis, Minnesota","Ameriprise Financial Services, LLC",101-250,"Commercial,Construction","$91,600-$123,000 /yr","1. Bachelor's Degree or equivalent years of experience.
2. 1-3 years of experience with designing, implementing, and managing storage environment.
3. Proven experience in PURE Storage & NetApp storage for administration, including configuration, maintenance, monitor storage systems & perform ONTAP GUI/CLI operations, installation, upgrade, backup/restore, and file system configuration for CIFS/NFS/iSCSI.
4. Proven knowledge of Cloud Storage.
5. Experience with Brocade Switches.
...",not sure,
Software Support Specialist,2025-11-19,https://jobright.ai/jobs/info/691e4460a49a885af9a26f5d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Oviedo, FL","Engineerica Systems, Inc.",11-50,"Education,Event Management",$45000-$45000 /yr,"1. Bachelor's degree in Information Technology or another related field
2. Excellent communication and interpersonal skills
3. Intimate knowledge of computers, software, Windows OS, and networking basics
4. Ability to work independently with minimal supervision
5. Ability to travel within the US to provide occasional on-site training when needed
...",not sure,
"Cloud Engineer, Healthcare IT & PACS",2025-11-19,https://jobright.ai/jobs/info/691e443a3f782d2f1afb31c3?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Mississauga, Ontario, Canada",Sectra,1001-5000,"Information Technology,Medical",$71000-$124700 /yr,"1. Computer engineering degree or equivalent with strong academic performance.
2. Up to 5 years of technology field experience.
3. Up to 5 years of Azure and AWS cloud experience.
4. Experience with cloud networking, including firewalls, Active Directory, load balancers, VPN, DNS, update management, and security.
5. Capable of technical deep dives into infrastructure, databases, and applications, while also developing support and deployment strategies.
...",not sure,yes
IT Support Technician,2025-11-19,https://jobright.ai/jobs/info/691e43f83f782d2f1afb317f?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Camarillo, CA
US-CA-Camarillo",Amentum,10000+,"Mechanical Engineering,Security",$33-$35 /hr,"1. Associates Degree, and at least 1 year of IT-related support experience, preferably in a help-desk or customer support role
2. Or High school diploma/GED, and at least 3 years of IT-related support experience, preferably in a help-desk or customer support role
3. Demonstrated ability to troubleshoot and resolve desktop, network, or other IT issues
4. Good technical writing, presentation, and documentation skills
5. Must be able and willing to perform physically demanding tasks, such as bending, kneeling, stretching, crawling, lifting, or moving up to 50 lbs.
...",no,
Statistician 1,2025-11-19,https://jobright.ai/jobs/info/691cf596bcdbf3560c9ebc32?utm_source=1100&utm_campaign=Software Engineering,On Site,"Columbus, OH",Ohio Department of Public Safety,501-1000,,$24.16-$24.16 /hr,"1. Completion of undergraduate core program in statistics.
2. Or equivalent of Minimum Class Qualifications for Employment noted above.
3. Statistics/Mathematics skills.
4. Organization skills.
5. Computer Literacy.
...",not sure,
"Software Engineer I, Backend (New Grad)",2025-11-19,https://jobright.ai/jobs/info/691e439109cc522e87738343?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Flex,251-500,"Apps,Billing",$125K-$153K /yr,"1. Bachelor's degree in Computer Science or related field (or equivalent experience)
2. Strong foundational knowledge of Java and OOP principles
3. Solid understanding of data structures, algorithms, and system design fundamentals
4. Familiarity with relational databases (SQL)
5. Experience with version control (Git)
...",not sure,yes
Sales Analytics Systems Developer,2025-11-19,https://jobright.ai/jobs/info/69126a9eea9ab01b82bf2778?utm_source=1100&utm_campaign=Software Engineering,On Site,"Lake Forest, IL",Abbott,10000+,"Biotechnology,Emergency Medicine",$60K-$120K /yr,"1. Bachelor’s degree in Business, Analytics, Statistics, Data Science, or equivalent.
2. 1-3 years of experience in analytics, data modeling, or business intelligence development.
3. PowerBI, Python, PowerQuery, Excel, Salesforce, Cognos, SmartSheet.
4. Understanding of sales processes, incentive plans, requirement gathering, and project estimation.
5. Strong problem-solving ability, curiosity, effective communication, and project management skills.",not sure,
Software Engineer in Test,2025-11-19,https://jobright.ai/jobs/info/690be02a4a1b456627b13edd?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Waltham, MA",GlobalLogic,10000+,"Developer Platform,Information Technology",$100K-$120K /yr,"1. Prior programming experience in Python is required.
2. Experience with test automation tools such as Selenium and Squish.
3. Prior experience with source code management tool such as Git and Bitbucket.
4. Experience working in Agile Scrum development environment.
5. Strong written and verbal communication skills.
...",not sure,
"Engineer 1, Excellence in Operations",2025-11-19,https://jobright.ai/jobs/info/691e421f3f782d2f1afb2f9e?utm_source=1100&utm_campaign=Software Engineering,On Site,"CO - Denver, 8000 E Iliff Ave",Comcast,10000+,"Internet,Telecommunications",$31.35-$47.02 /hr,"1. Must be able to work a flexible schedule, including nights and weekends
2. Hands-on IP router/switch/firewall/SDWAN customer premises equipment
3. Design, configure and deploy LAN and WAN network connections, hardware, software and communication links and services
4. Optimize the network and systems services and troubleshoot any network performance issues
5. Responsible for the service provision and monitoring of the network infrastructure to company standards
...",not sure,
Help Desk Representative,2025-11-19,https://jobright.ai/jobs/info/691e3d883f782d2f1afb2e1b?utm_source=1100&utm_campaign=Software Engineering,On Site,"Denver, CO, US",Antero Resources,251-500,"Energy,Natural Resources",$65000-$75000 /yr,"1. High School Diploma or equivalent.
2. A strong focus on customer satisfaction, responsiveness, and productivity.
3. Ability to communicate clearly in verbal and written form with both non-technical users and technical.
4. Understanding of IT functions to be able to describe technical procedures clearly.
5. Basic understanding of computer equipment and peripherals, with a focus on how all peripherals operate and interact with the computer equipment.
...",not sure,
"Software Engineer, Pega Blueprint",2025-11-19,https://jobright.ai/jobs/info/691e3d6a3f782d2f1afb2df9?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Waltham, MA",Pegasystems,5001-10000,"Artificial Intelligence (AI),CRM",$85K-$127K /yr,"1. Bachelor’s degree in Computer Science or a similar degree is required
2. Full-stack development experience required
3. Must be local to Waltham, Ma and able to come onsite 3-4 days per week",not sure,
ERP Sales Consultant,2025-11-19,https://jobright.ai/jobs/info/691e5d7fa49a885af9a28025?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Miles IT,101-250,"Advertising,Consulting",$45K-$60K /yr,"1. Experience in SaaS Sales or a successful customer-facing background.
2. Strong understanding of and experience with Business Operations and Technology
3. Expertise in SaaS products and a passion for digital solutions.
4. Excellent consultative skills: Uncover client needs, craft tailored solutions, and consistently exceed expectations.
5. Proven ability to learn quickly and manage time effectively.
...",not sure,
Application Developer,2025-11-19,https://jobright.ai/jobs/info/69179f1745fb6f5ead89cba9?utm_source=1100&utm_campaign=Software Engineering,On Site,"Redlands, CA",Esri,5001-10000,"3D Technology,Analytics","$68,640-$107,120 /yr","1. 1+ years of experience in software development, preferably with Python
2. Interest in or exposure to LLMs, AI agents, RAG pipelines, or vector databases
3. Proficiency in OOP languages and working with REST APIs
4. Knowledge of relational databases, such as SQL, and NoSQL databases such as MongoDB
5. Experience with version control systems, such as Git
...",no,
"Data Center Technician - Afton, TX",2025-11-19,https://jobright.ai/jobs/info/691e3ce0a49a885af9a26b40?utm_source=1100&utm_campaign=Software Engineering,On Site,"Afton, TX",PGTEK,,,$80K-$85K /yr,"1. Must be a US citizen.
2. This position requires 100% onsite presence in Afton, TX
3. Shift is expected to be first shift, but will probably rotate often. Must be able to work varying shift.
4. Role involves physical labor in a dynamic datacenter environment
5. Dell Server Expertise: Proven experience racking, stacking, and servicing Dell servers in a datacenter setting.
...",no,
Information Technology Helpdesk,2025-11-19,https://jobright.ai/jobs/info/691e3c8c3f782d2f1afb2d32?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Lafayette Hill, PA, 19444, United States",Life Tree Pharmacy,51-100,"Assisted Living,Health Care",$23.74-$23.74 /hr,"1. Experience in a phone-based support role.
2. Ability to create and update tickets in a timely manner within the IT Service Management System.
3. Strong communication skills to monitor the status of unresolved issues and provide frequent updates to customers.
4. Ability to document problem definitions and knowledge base articles.
5. Experience in answering and responding to inbound calls, emails, or chats using documented procedures.
...",not sure,
IT Support Engineer,2025-11-19,https://jobright.ai/jobs/info/691e3c2da49a885af9a26a9d?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, New York",Contentsquare,1001-5000,"Analytics,Artificial Intelligence (AI)",$65000-$75000 /yr,"1. Bachelor's degree in Information Technology, Computer Science, or a related field, or equivalent practical experience.
2. Basic understanding of operating systems (Windows, macOS, Linux), network protocols (TCP/IP, DNS), and common office applications (Microsoft Office Suite, Google Workspace).
3. Familiarity with IT ticketing systems and remote support tools.
4. Excellent problem-solving skills and the ability to diagnose and resolve technical issues efficiently.
5. Strong communication and interpersonal skills, with the ability to explain technical concepts clearly to non-technical users.
...",not sure,
Technical Support Representative - Remote,2025-11-19,https://jobright.ai/jobs/info/691e50c7a49a885af9a278b9?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,BigCommerce,1001-5000,"Business Development,E-Commerce",$19-$21 /hr,"1. A work ethic that demonstrates dedication to the company, its mission, and the team; a desire to work in a culture of excellence
2. Experience in a customer-facing, service-oriented role is required
3. Exceptional ability to utilize self-service resources (internal guides, Google-fu, external service portals, etc) to find solutions is required
4. Strong aptitude toward various web, eCommerce, and hosting technologies and how they work together
5. Exceptional critical thinking and soft skills with a passion for getting every customer on the path to success using thoughtful solutions that best fit each situation
...",not sure,
"2026 MLB Data Operations (MINNEAPOLIS, MN)",2025-11-19,https://jobright.ai/jobs/info/691e3b8ba49a885af9a26a12?utm_source=1100&utm_campaign=Software Engineering,On Site,"MINNEAPOLIS, MN",Major League Baseball (MLB),1001-5000,"Association,Baseball",$25-$27.50 /hr,"1. Exceptional (and demonstrable) knowledge of baseball and how to score a baseball game.
2. Strong computer proficiency (Windows OS, Windows-based software and Chrome browser) and the ability to quickly learn and operate new software.
3. Knowledge and use of Slack chat software.
4. Network connection management (Ethernet, Wi-Fi enabling/Disabling; test MAC Address).
5. Regular availability to attend games in-person as required by the schedule: weekdays, nights and weekends.
...",not sure,
"2026 MLB Data Operations (CINCINNATI, OH)",2025-11-19,https://jobright.ai/jobs/info/691e3ad109cc522e87737e13?utm_source=1100&utm_campaign=Software Engineering,On Site,"CINCINNATI, OH",Major League Baseball (MLB),1001-5000,"Association,Baseball",$25-$27.50 /hr,"1. Exceptional (and demonstrable) knowledge of baseball and how to score a baseball game.
2. Strong computer proficiency (Windows OS, Windows-based software and Chrome browser) and the ability to quickly learn and operate new software.
3. Knowledge and use of Slack chat software.
4. Network connection management (Ethernet, Wi-Fi enabling/Disabling; test MAC Address).
5. Regular availability to attend games in-person as required by the schedule: weekdays, nights and weekends.
...",not sure,
Local AI Consultant (Dallas),2025-11-19,https://jobright.ai/jobs/info/691f9cef3f782d2f1afbe8ef?utm_source=1100&utm_campaign=Software Engineering,On Site,"Dallas, TX",Refer.IO,11-50,,$2000-$2000 /mon,"1. Background in sales, community, journalism, podcasting, recruiting, or partnerships
2. Naturally curious and professionally inquisitive
3. Genuine interest in AI
4. Hungry to learn the landscape of AI
5. Ability to connect with people and help them articulate their ideas or work through problems",not sure,
Local AI Consultant (Salt Lake-Lehi),2025-11-19,https://jobright.ai/jobs/info/691f9cbfa49a885af9a326ec?utm_source=1100&utm_campaign=Software Engineering,On Site,"Lehi, UT",Refer.IO,11-50,,$2000-$2000 /mon,"1. Natural people skills
2. Ability to connect with local businesses
3. Curiosity and helpfulness
4. Experience in networking and educational sales
5. Ability to build trust and establish long-term relationships
...",not sure,
Local AI Consultant (San Diego),2025-11-19,https://jobright.ai/jobs/info/691faa6e09cc522e87744515?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Diego, CA",Refer.IO,11-50,,$24K-$200K /yr,"1. Natural people skills
2. Curiosity and helpfulness
3. Ability to build trust and establish long-term relationships
4. Experience in networking and educational sales
5. Ability to have conversations with business owners
...",not sure,
Software Engineer Security & Automation I (Full Time) – United States,2025-11-19,https://jobright.ai/jobs/info/691e3aa209cc522e87737de8?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Boston, MA
Hillsboro, OR
Austin, TX
Atlanta, GA
Alpharetta, GA
Fulton, MD
Dallas, TX",Cisco,10000+,"Communications Infrastructure,Enterprise Software","$104,700-$153,000 /yr","1. Completion within the past 3 years, or current enrollment with expected completion within 12 months, of a certification or relevant degree program (e.g., Associate’s, Apprenticeship, Boot Camp, or Certification in a specialized program + 1 year of relevant experience, High School Diploma + 2 years of relevant experience) or Bachelor’s + 0 years of relevant experience. Relevant fields include:
2. Experience writing, debugging, and maintaining code in Python or other scripting languages (such as Bash), with a focus on automating tasks, workflows, or processes.
3. Understanding of security protocols and principles (e.g., TLS/SSL, SSH, OAuth, SAML, IPsec) and familiarity with common cybersecurity tools.
4. Exposure to DevOps and DevSecOps practices, including integrating security measures into CI/CD pipelines (e.g., Jenkins, GitHub Actions) and cloud environments.
5. Familiarity with cloud security concepts and experience using automation tools within software development and deployment workflows.",not sure,yes
"Associate Security Engineer, Anomaly Detection",2025-11-19,https://jobright.ai/jobs/info/691e5602a49a885af9a27c4f?utm_source=1100&utm_campaign=Software Engineering,On Site,"Burbank, CA",disney,1001-5000,"Events,News",$89K-$119K /yr,"1. Experience in cybersecurity (internships, academic projects, or lab work acceptable).
2. Strong typing proficiency and attention to detail.
3. Basic understanding of networking, operating systems, and core cybersecurity principles.
4. Familiarity with security concepts such as threat detection, threat hunting, and MITRE ATT&CK framework (academic exposure or self-study acceptable).
5. Familiarity with SIEM tools (e.g., Splunk) for detection and analysis.
...",not sure,
Clinical Systems Programmer,2025-11-19,https://jobright.ai/jobs/info/691e39eca49a885af9a26875?utm_source=1100&utm_campaign=Software Engineering,On Site,"Redwood City, California, United States",Revolution Medicines,501-1000,"Health Care,Life Science",$96000-$120000 /yr,"1. Bachelor’s degree in Computer Science, Health Informatics, Biostatistics, or a related field (or equivalent experience in clinical data and programming).
2. 0 - 4 years of experience with SAS, SQL, and R programming for clinical data analysis, including dataset manipulation and TFL generation and verification.
3. Experience with dashboard development and web page design.
4. Familiarity with clinical trial data standards (e.g., SDTM, ADaM) and data cleaning processes.
5. Understanding of software validation processes (IQ, OQ, PQ, UAT) and GxP compliance.
...",not sure,yes
Software Engineer - Junior / Mid / Senior / SME,2025-11-19,https://jobright.ai/jobs/info/691e57f53f782d2f1afb403a?utm_source=1100&utm_campaign=Software Engineering,On Site,"Wright-Patterson AFB, OH",HII,10000+,"Health Care,Public Safety",$57K-$143K /yr,"1. Working knowledge with HTML, XML, JavaScript, TypeScript, and CSS
2. Working knowledge of Web API or similar Service-Oriented Architecture (SOA) frameworks
3. Working knowledge with Continuous Integration/Continuous Delivery tools
4. Secret Security Clearance to start
5. Must be able to obtain and maintain a TS/SCI clearance with enhanced security check
...",no,yes
"Software Engineer, Associate (Engineer Software 1)",2025-11-19,https://jobright.ai/jobs/info/691e56bba49a885af9a27cc7?utm_source=1100&utm_campaign=Software Engineering,On Site,"Warner Robins, GA",HII,10000+,"Health Care,Public Safety",$54K-$85K /yr,"1. 0 years experience with Bachelors in related field; or High School Diploma or equivalent and 4 years relevant experience.
2. Experience in Apple iOS or NodeJS development stack
3. Experience in React web development (React, Express, Swagger/OpenAPI, MongoDB, and Mongoose)
4. Must possess the ability to obtain and maintain a US level Secret clearance",no,yes
"Account Manager, US",2025-11-19,https://jobright.ai/jobs/info/691e38c03f782d2f1afb29bf?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
New York, NY
Mountain View, CA",Branch,251-500,"App Marketing,Mobile Advertising",$119K-$149K /yr,"1. 1-2 years of professional experience in Sales, Account Management, Customer Success, Software Consulting, Technical Account Management, Technical Consulting or similar customer-facing roles.
2. Excellent client management skills, a bias for action, strong sense of accountability, an ability to perform hands-on technical work when needed, and the ability to lead projects and interact with global teams.
3. Experience supporting customers with cloud-based SaaS solutions.
4. Problem-solving skills around business and technical product questions.
5. Ability to analyze & interpret business requirements and customer interactions to anticipate and guide client needs in order to drive value-based use-case adoption.
...",no,
Information Technology Helpdesk,2025-11-19,https://jobright.ai/jobs/info/691e384da49a885af9a266b7?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Lafayette Hill, PA",Merakey,5001-10000,"Education,Health Care",$23.74-$23.74 /hr,"1. Experience in a phone-based support role.
2. Ability to create and update tickets in a timely manner within the IT Service Management System.
3. Strong communication skills to monitor the status of unresolved issues and provide frequent updates to customers.
4. Ability to document problem definitions and knowledge base articles.
5. Experience in answering and responding to inbound calls, emails, or chats using documented procedures.
...",not sure,
"Data Engineer - Top Secret Clearance (Application Software, Data)",2025-11-19,https://jobright.ai/jobs/info/691e3836a49a885af9a2669c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hawthorne, CA",SpaceX,10000+,"Advanced Materials,Aerospace","$120,000-$170,000 /yr","1. Bachelor's degree in computer science, data science, engineering, math, physics, or scientific discipline; OR 2+ years of professional experience building software in lieu of a degree
2. 1+ years of experience in full stack development, software engineering, data engineering, or data science
3. Active Top Secret or TS/SCI clearance
4. Willing to work extended hours and weekends when needed",no,
"FID, Municipal Securities, Full Stack Developer – Associate",2025-11-19,https://jobright.ai/jobs/info/691e382d09cc522e87737b7e?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, NY",Morgan Stanley,10000+,"Asset Management,Finance",$150K-$200K /yr,"1. Expert-level knowledge of full stack development, including:
2. React (Javascript/Typescript)
3. Python (Flask, Pandas)
4. Databases (kdb, Postgres)
5. CI/CD and SDLC processes (Jenkins, Git)
...",not sure,
IT Support Engineer,2025-11-19,https://jobright.ai/jobs/info/691e37be09cc522e87737b16?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, NY",Contentsquare,1001-5000,"Analytics,Artificial Intelligence (AI)",$65K-$75K /yr,"1. Bachelor's degree in Information Technology, Computer Science, or a related field, or equivalent practical experience.
2. Basic understanding of operating systems (Windows, macOS, Linux), network protocols (TCP/IP, DNS), and common office applications (Microsoft Office Suite, Google Workspace).
3. Familiarity with IT ticketing systems and remote support tools.
4. Excellent problem-solving skills and the ability to diagnose and resolve technical issues efficiently.
5. Strong communication and interpersonal skills, with the ability to explain technical concepts clearly to non-technical users.
...",not sure,
"Associate Software Engineer, Pega Blueprint",2025-11-19,https://jobright.ai/jobs/info/691e37a609cc522e87737af9?utm_source=1100&utm_campaign=Software Engineering,On Site,"Waltham, MA",Pegasystems,5001-10000,"Artificial Intelligence (AI),CRM",$72K-$108K /yr,"1. Strong knowledge of object-oriented design principles
2. Java development experience via projects, internships, class work, etc.
3. Course or project experience in data science and data analytics
4. Agile development methodology experience/knowledge
5. Ability to learn new skills quickly and apply them to solving challenging problems",not sure,
Product Specialist,2025-11-19,https://jobright.ai/jobs/info/691e371b3f782d2f1afb2800?utm_source=1100&utm_campaign=Software Engineering,On Site,"Englewood Cliffs, NJ",NBCUniversal,10000+,"Broadcasting,Media and Entertainment",$75K-$90K /yr,"1. Bachelor’s degree in Information Technology, Computer Science, or a related field preferred or equivalent related work experience
2. 1+ years' experience in product management, with a focus on enterprise tools such as Jira Align, Atlassian Analytics, or similar products.
3. Proven experience working with Atlassian products, including Jira (Software, Service Management), Confluence, and related plug-ins (e.g. QMetry, Lucid Charts)
4. Strong knowledge of workflows, permissions, issue types, and project management concepts within the Atlassian ecosystem.
5. Experience with L1/L2 service desk support, including issue resolution, troubleshooting, and escalation management.
...",not sure,
"Data Engineer - Top Secret Clearance (Application Software, Data)",2025-11-19,https://jobright.ai/jobs/info/691e36303f782d2f1afb2733?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hawthorne, CA",SpaceX,10000+,"Advanced Materials,Aerospace",$120K-$145K /yr,"1. Bachelor's degree in computer science, data science, engineering, math, physics, or scientific discipline; OR 2+ years of professional experience building software in lieu of a degree
2. 1+ years of experience in full stack development, software engineering, data engineering, or data science
3. Active Top Secret or TS/SCI clearance
4. Willing to work extended hours and weekends when needed",no,
